%time,field.x,field.y,field.z,real->,field.x,field.y
1376085764107040000,71,28,0,,-60.35206604,78
1376085764117830000,69,22,0,,-60.3052902222,78
1376085764132010000,69,22,0,,-60.2224884033,78
1376085764146030000,71,22,0,,-60.2224884033,78
1376085764159740000,46,3,0,,-87.2189941406,55
1376085764171070000,46,3,0,,-87.4781494141,55
1376085764180360000,46,3,0,,-87.5468063354,55
1376085764188820000,48,5,0,,-87.5468063354,55
1376085764197180000,48,5,0,,-87.5468063354,55
1376085764207400000,48,5,0,,-87.5468063354,55
1376085764219150000,48,5,0,,-87.5468063354,55
1376085764230010000,48,5,0,,-87.5468063354,55
1376085764242090000,48,5,0,,-87.5468063354,55
1376085764256790000,48,5,0,,-87.5468063354,55
1376085764271800000,48,5,0,,-87.5468063354,55
1376085764287230000,16,15,0,,-119.240592957,35
1376085764302300000,16,21,0,,-121.795188904,35
1376085764315820000,17,23,0,,-124.27973938,35
1376085764329760000,15,22,0,,-126.50831604,36
1376085764345030000,5,10,0,,-128.527023315,36
1376085764361210000,4,9,0,,-129.896316528,37
1376085764374830000,14,23,0,,-129.896316528,37
1376085764387590000,14,23,0,,-129.896316528,37
1376085764398780000,14,23,0,,-129.896316528,37
1376085764409330000,14,23,0,,-129.896316528,37
1376085764422040000,14,23,0,,-129.896316528,37
1376085764435790000,16,25,0,,-129.896316528,37
1376085764447790000,16,25,0,,-129.896316528,37
1376085764455100000,16,25,0,,-129.896316528,37
1376085764464410000,16,25,0,,-129.896316528,37
1376085764474530000,16,25,0,,-129.896316528,37
1376085764486620000,16,25,0,,-129.896316528,37
1376085764499420000,9,4,0,,-155.68409729,58
1376085764514180000,11,4,0,,-157.21723938,58
1376085764529720000,2,8,0,,-143.909683228,70
1376085764544460000,5,6,0,,-140.934432983,68
1376085764560900000,5,6,0,,-140.934432983,68
1376085764575840000,5,6,0,,-140.934432983,68
1376085764591070000,5,6,0,,-140.934432983,68
1376085764602340000,13,3,0,,-159.937683105,59
1376085764614290000,15,3,0,,-161.265640259,59
1376085764627330000,17,3,0,,-162.554595947,59
1376085764639300000,18,4,0,,-164.339019775,58
1376085764646980000,18,4,0,,-164.339019775,58
1376085764659680000,19,4,0,,-165.226013184,58
1376085764667850000,19,4,0,,-165.226013184,58
1376085764679930000,19,4,0,,-165.226013184,58
1376085764693790000,19,4,0,,-165.226013184,58
1376085764707630000,19,4,0,,-165.226013184,58
1376085764723490000,19,4,0,,-165.226013184,58
1376085764736040000,19,4,0,,-165.226013184,58
1376085764747280000,19,4,0,,-165.226013184,58
1376085764759300000,19,4,0,,-165.226013184,58
1376085764774520000,323,4,0,,-165.226013184,58
1376085764789210000,323,4,0,,-165.226013184,58
1376085764805560000,323,4,0,,-165.226013184,58
1376085764820610000,323,4,0,,-165.226013184,58
1376085764832650000,323,4,0,,-165.226013184,58
1376085764843840000,323,4,0,,-165.226013184,58
1376085764852620000,327,4,0,,-165.226013184,58
1376085764860640000,327,4,0,,-165.226013184,58
1376085764869970000,327,4,0,,-165.226013184,58
1376085764879650000,325,10,0,,-165.226013184,58
1376085764890220000,325,10,0,,-165.226013184,58
1376085764903960000,321,10,0,,-165.226013184,58
1376085764916430000,321,10,0,,-165.226013184,58
1376085764927790000,323,8,0,,-165.226013184,58
1376085764938280000,323,8,0,,-165.226013184,58
1376085764946590000,323,8,0,,-165.226013184,58
1376085764959270000,315,12,0,,-165.226013184,58
1376085764974770000,313,16,0,,-165.226013184,58
1376085764988540000,313,16,0,,-165.226013184,58
1376085764999970000,313,16,0,,-165.226013184,58
